Abbotsford,_Wisconsin 44.946356 -90.315969
Enid,_Oklahoma 36.3967623 -97.8791341
Eufaula,_Oklahoma 35.2873206 -95.5824846
Eufaula,_Oklahoma 35.2873206 -95.5824846
Evansville,_Indiana 37.9747645 -87.5558483
Evansville,_Indiana 37.9747645 -87.5558483
Evansville,_Wisconsin 42.7803486 -89.2992249
Fairfield,_California 38.2493581 -122.0399663
Fairview,_Kansas 39.8411112 -95.7280415
Faith,_South Dakota 45.0230391 -102.0359924
Fall River,_Massachusetts 41.7010642 -71.1546367
Fall River,_Wisconsin 43.3909644 -89.0419184
Fallon,_Nevada 39.4738129 -118.7783956
Falmouth,_Maine 43.729525 -70.241993
Fargo,_North Dakota 46.8772292 -96.789821
Farm Point,_Quebec 54.0 -72.0
Farmington,_Connecticut 41.7198216 -72.8320435
Farwell,_Michigan 43.8350247 -84.8669666
Fayetteville,_North Carolina 35.0529931 -78.8787058
Ferndale,_Michigan 42.4605917 -83.1346478
Fidelity,_Missouri 37.0681168 -94.3132763
Fishers,_New York 43.0086744 -77.464716
Flasher,_North Dakota 46.4561128 -101.2326433
Flatlands,_New Brunswick 47.9914915 -66.8719526
Fleurimont,_Quebec 45.4063675 -71.8385173
Flint,_Michigan 43.0171773 -83.7236024
Floodwood,_Minnesota 46.9291095 -92.9196483
Flora,_Mississippi 32.5432591 -90.3094672
Florenceville,_New Brunswick 46.4424342 -67.6186586
Fond du Lac,_Wisconsin 43.7748763 -88.4458033
Forbing,_Louisiana 32.3926552 -93.727401
Forest Lake,_Minnesota 45.2788444 -92.985312
Forgan,_Oklahoma 36.9069704 -100.5393177
Forsyth,_Georgia 34.235309 -84.1335644
Forsyth,_Georgia 34.235309 -84.1335644
Fort Benton,_Montana 47.8172972 -110.6716715
Fort Dodge,_Iowa 42.4974694 -94.1680158
Fort Myers,_Florida 26.640628 -81.8723084
Fort Scott,_Kansas 37.8399791 -94.7082882
Fort Smith,_Arkansas 35.3872218 -94.4248983
Fort Smith,_Arkansas 35.3872218 -94.4248983
Fort Smith,_Arkansas 35.3872218 -94.4248983
Fortuna,_North Dakota 48.9100315 -103.7793697
Foxboro,_Massachusetts 42.0584323 -71.2494975
Frankfort,_Kentucky 38.2009055 -84.8732836
Franklin,_Indiana 39.4806056 -86.0549863
Franklin,_Tennessee 35.1680139 -86.1084401
Franklin,_Wisconsin 44.2127373 -91.1237621
Freedom,_Wyoming 42.9826991 -111.0438243
Freeman,_South Dakota 43.3524871 -97.4372863
Fremont,_Nebraska 41.4333328 -96.4980807
Ganado,_Arizona 35.6992764 -109.549821848
Garden City,_Kansas 37.9716898 -100.8726618
Garner,_Iowa 43.1024603 -93.6018782
Garner,_North Carolina 35.7112642 -78.6141709
Gaspe,_Quebec 48.8301224 -64.4851792
Gates,_New York 43.0914641 -73.6381727
Girard,_Kansas 37.5111596 -94.8380215
Glencoe,_Oklahoma 36.2286641 -96.925591
Glenholme,_Nova Scotia 45.3781307 -63.5516062
Glenns,_Virginia 37.5656966 -76.6127322
Glens Falls,_New York 43.3096957 -73.6441044
Glenwood,_Iowa 41.0469437 -95.7425055
Goldfield,_Iowa 42.7358045 -93.92078
Goodenow,_Illinois 41.3919713 -87.6370807
Goodlettsville,_Tennessee 36.3231067 -86.7133302
Gould,_Quebec 45.5925035 -71.3752351
Gould,_Quebec 45.5925035 -71.3752351
Grainfield,_Kansas 39.1136186 -100.4651386
Grand Island,_Nebraska 40.9250124 -98.342007
Grand Portage,_Minnesota 47.963776 -89.6848121
Grand-Mere,_Quebec 46.6128081 -72.6949758
Grand-Mere,_Quebec 46.6128081 -72.6949758
Grand-Remous,_Quebec 46.6229403 -75.9216964
Grand-Remous,_Quebec 46.6229403 -75.9216964
Grant,_Nebraska 41.9231444 -101.7354061
Grantville,_Kansas 39.0833331 -95.5613668
Grass Range,_Montana 47.0261827 -108.8037643
Grayling,_Michigan 44.6615168 -84.7146371
Grayling,_Michigan 44.6615168 -84.7146371
Green Bay,_Wisconsin 44.5299412 -88.0248317
Green River,_Utah 40.2659275 -109.5971656
Greensburg,_Indiana 39.3372722 -85.483581
Greenville,_Rhode Island 41.8712103 -71.5520069
Gregory,_South Dakota 43.2322227 -99.4303833
Gregory,_South Dakota 43.2322227 -99.4303833
Grenville,_Quebec 45.622998 -74.5969294
Greystone,_North Carolina 36.3607015 -78.3491628
Grove City,_Minnesota 45.1505185 -94.6830533
Guin,_Alabama 33.9656594 -87.9147494
Gum Spring,_Virginia 39.518418 -79.9103427
Gunnison,_Colorado 38.5458246 -106.9253207
Gunnison,_Utah 39.1552391 -111.8182582
Guthrie,_Oklahoma 35.8789231 -97.4252772
Haines City,_Florida 28.1124785 -81.6311974491
Half Moon Bay,_California 37.4635519 -122.4285862
Halltown,_Missouri 37.193385 -93.6254785
Hamburg,_Iowa 40.6044458 -95.6577711
Hamburg,_Iowa 40.6044458 -95.6577711
Hamden,_Connecticut 41.3959287 -72.8968716
Hamilton,_Alabama 34.1423235 -87.9886438
Hamilton,_Alabama 34.1423235 -87.9886438
Hampton,_Iowa 42.7420086 -93.2022735
Hampton,_Virginia 37.0300969 -76.3452057
Hannibal,_Missouri 39.7083789 -91.3584816
Hardeeville,_South Carolina 32.2802665 -81.0726108
Harper,_Kansas 37.1922068 -98.0835849
Harper Woods,_Michigan 42.4330924 -82.9240833
Harrison,_Michigan 44.0191862 -84.7994675
Harrisonville,_Missouri 38.6533446 -94.3484529
Hartland,_Michigan 42.656697 -83.7530022
Haverhill,_Massachusetts 42.7762015 -71.0772796
Haverhill,_Massachusetts 42.7762015 -71.0772796
Havre-St-Pierre,_Quebec 50.2454486 -63.5960767
Havre-St-Pierre,_Quebec 50.2454486 -63.5960767
Havre-St-Pierre,_Quebec 50.2454486 -63.5960767
Hazen,_Arkansas 34.7809263 -91.5809651
Helena,_Arkansas 34.5295471 -90.5917722
Henderson,_Minnesota 44.5282971 -93.9077438
Herington,_Kansas 38.671119 -96.9425139
Hernando,_Mississippi 34.823987 -89.9937018
Hibbing,_Minnesota 47.4271546 -92.9376887
Highland,_Indiana 41.5536469 -87.451984
Highland Park,_Michigan 42.4057135 -83.0969467
Highland Park,_Michigan 42.4057135 -83.0969467
Highmore,_South Dakota 44.5213731 -99.4415007
Holstein,_Iowa 42.4891531 -95.545003
Holt,_Michigan 42.636551 -84.5225270242
Holyoke,_Massachusetts 42.22415795 -72.6402183064
Homestead,_Iowa 41.7594532 -91.8671215
Homewood,_Illinois 41.5572567 -87.6656015
Horner,_Michigan 48.14134495 -88.6084642303
Hot Springs,_South Dakota 43.431646 -103.4743625
Hot Springs,_South Dakota 43.431646 -103.4743625
Houghton,_South Dakota 45.76148055 -98.2124444422
Houston,_Texas 29.7589382 -95.3676974
Houston Lake,_Missouri 39.1927808 -94.6202345
Howard,_South Dakota 44.0108074 -97.5267361
Hugoton,_Kansas 37.1753025 -101.3496025
Humboldt,_South Dakota 43.6452557 -97.0739467
Hurley,_South Dakota 43.2830402 -97.0892202
Hebertville,_Quebec 48.3914293 -71.6787005
Iberville,_Quebec 45.31697525 -73.2224671038
Iliff,_Colorado 40.759156 -103.0665894
Independence,_Missouri 39.0911161 -94.4155068
Indianapolis,_Indiana 39.7683331 -86.1583501
Indianola,_Iowa 41.3580484 -93.5574376
Iola,_Wisconsin 44.55495525 -89.1631982693
Iowa City,_Iowa 41.6612561 -91.5299106
Iowa City,_Iowa 41.6612561 -91.5299106
Ipswich,_South Dakota 45.4444193 -99.0292784
Ipswich,_South Dakota 45.4444193 -99.0292784
Irene,_South Dakota 43.0830474 -97.1606081
Irene,_South Dakota 43.0830474 -97.1606081
Irving,_Iowa 41.9483555 -92.2954594
Island Pond,_Vermont 44.8147712 -71.8803728
Iuka,_Mississippi 34.809352 -88.1941237263
Jacksonville,_Florida 30.3321838 -81.655651
Jamestown,_Indiana 39.9267106 -86.6288926
Jamison,_South Carolina 33.582098 -80.8178689
Joliette,_Quebec 46.0243857 -73.439845
L'Anse-Pleureuse,_Quebec 49.2422631 -65.647361
Lac-Megantic,_Quebec 45.5747248 -70.8819871
Lachute,_Quebec 45.6561296 -74.3412143
Laval,_Quebec 45.60558895 -73.7344968952
Levis,_Quebec 46.7910096 -71.1753274
Levis,_Quebec 46.7910096 -71.1753274
Macamic,_Quebec 48.7500001 -79.000083
Mont-Joli,_Quebec 48.5838157 -68.1838987
Mont-Laurier,_Quebec 46.5523631 -75.497393
Montmagny,_Quebec 46.9818451 -70.5557013
Phillipsburg,_Quebec 45.503785 -73.5680585
Pierreville,_Quebec 46.070076 -72.8100515
Plessisville,_Quebec 46.2194811 -71.7719238
Rimouski,_Quebec 48.4492822 -68.5292478
Saint-Henri,_Quebec 46.692049 -71.0669554
St-Donat,_Quebec 48.4971102 -68.2474162
St-Tite,_Quebec 46.729729 -72.5621431
Tadoussac,_Quebec 48.1432299 -69.7198574
